Alkene SMILES,Alkyl SMILES,alkene:alkyl halide(eq),Product SMILES,solvent SMILES,Additive SMILES,Metal SMILES,Ligand SMILES,Temperature/C,S/C,time(h),er,ee
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(C[C@H]2COC(C(Cc3ccccc3)(Cc3ccccc3)C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1,5,10,12,,28
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCC3)=N2)cc1,5,10,12,,51
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCCC3)=N2)cc1,5,10,12,,39
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCCCC3)=N2)cc1,5,10,12,,35
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(CC(Cc2ccccc2)(C2=N[C@H](c3ccccc3)[C@H](c3ccccc3)O2)C2=N[C@H](c3ccccc3)[C@H](c3ccccc3)O2)cc1,5,10,12,,23
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(CC(Cc2ccccc2)(C2=N[C@H](c3ccccc3)CO2)C2=N[C@H](c3ccccc3)CO2)cc1,5,10,12,,42
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(CC(Cc2ccccc2)(C2=N[C@H]3c4cc(-c5ccc6ccccc6c5)ccc4C[C@H]3O2)C2=N[C@H]3c4cc(-c5ccc6ccccc6c5)ccc4C[C@H]3O2)cc1,5,10,12,,54
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(CC(Cc2ccccc2)(C2=N[C@H]3c4cc(-c5cccc6ccccc56)ccc4C[C@H]3O2)C2=N[C@H]3c4cc(-c5cccc6ccccc56)ccc4C[C@H]3O2)cc1,5,10,12,,78
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc(CC(Cc2ccccc2)(C2=N[C@H]3c4ccccc4C[C@H]3O2)C2=N[C@H]3c4ccccc4C[C@H]3O2)cc1,5,10,12,,71
C=C(C1CCOCC1)C,BrCCC1=CC=CC=C1,2:01,CC(CCCc1ccccc1)C1CCOCC1,COCCOC,CCO[SiH](C)OCC.F[Cs],Br[Co]Br,c1ccc2c(c1)C[C@H]1OC(C(Cc3ccc(C45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6)cc3)(Cc3ccc(C45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6)cc3)C3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,5,10,12,,85
